,ontology,failed,failed_repair,steps,time,calls,iic_mcs,iic_remove,inf_mcs,inf_weakening,inf_remove,failed_enhance,steps_enhance,time_enhance,calls_enhance,inf_enhance,iic_enhance_weaken,iic_enhance_mcs,iic_enhance_remove,iic_mcs_remove,eiic_mcs,eiic_remove,einf_mcs,einf_weakening,einf_remove,einf_enhance,eiic_enhance_weaken,eiic_enhance_mcs,eiic_enhance_remove,eiic_mcs_remove
0,admin,False,False,1.0,2298.0,2255.0,0.0,0.5,850.0,194.0,194.0,False,3.0,844.0,1728.0,194.0,0.5,0.0,0.5,1.0,0.048927038626609444,1.0,14976.0,12874.0,12699.0,12699.0,0.0,0.045508982035928146,0.5,0.9544910179640719
1,admin,False,False,3.0,5286.0,8349.0,1.0,0.5,173.0,191.0,191.0,False,5.0,1072.0,2274.0,182.0,0.0,0.68,0.0,0.0,1.0,0.5,12167.0,13457.0,13457.0,12977.0,0.0,0.9623287671232876,0.0,0.0
2,admin,False,False,51.0,118750.0,56101.0,1.0,0.0,177.0,194.0,196.0,False,5.0,1114.0,5678.0,196.0,1.0,1.0,0.5,0.0,1.0,0.0,12347.0,13519.0,13523.0,13523.0,1.0,1.0,0.5,0.0
3,admin,False,False,1.0,1787.0,2096.0,0.0,0.5,849.0,191.0,191.0,False,3.0,948.0,2021.0,191.0,0.5,0.0,0.5,1.0,0.0,0.5,15488.0,12918.0,12918.0,12918.0,0.5,0.0,0.5,1.0
4,admin,False,False,5.0,4386.0,5870.0,1.0,1.0,232.0,254.0,232.0,False,3.0,1091.0,3137.0,232.0,0.0,0.5,0.5,0.5,0.22297297297297297,0.22297297297297297,13289.0,13125.0,13289.0,13289.0,0.777027027027027,0.5,0.5,0.5
5,admin,False,False,24.0,31895.0,22501.0,0.5,0.5,251.0,251.0,251.0,False,1.0,1340.0,4905.0,251.0,0.5,0.5,0.5,0.5,1.0,0.5,14722.0,15258.0,15258.0,15258.0,0.5,1.0,0.5,0.0
6,admin,False,False,15.0,23575.0,21149.0,0.8823529411764706,0.0,194.0,207.0,210.0,False,58.0,4093.0,9638.0,210.0,1.0,1.0,0.5,0.0,0.9984239558707644,0.0,14539.0,15804.0,15810.0,15810.0,1.0,1.0,0.5,0.0
7,admin,False,False,17.0,20387.0,18157.0,0.0,0.0,233.0,231.0,233.0,False,8.0,1413.0,4012.0,233.0,1.0,0.5,0.5,0.5,0.9987317691819911,0.0,13125.0,14698.0,14702.0,14323.0,0.007874015748031496,0.9171309192200557,0.0,0.0
8,admin,False,False,1.0,2053.0,3076.0,0.5,0.5,191.0,191.0,191.0,False,3.0,945.0,1763.0,208.0,1.0,1.0,1.0,0.5,0.5,0.5,13235.0,13235.0,13235.0,13235.0,0.5,0.5,0.5,0.5
9,admin,False,False,1.0,2034.0,2213.0,1.0,1.0,191.0,232.0,191.0,False,1.0,833.0,1625.0,232.0,0.5,1.0,1.0,0.5,0.9928571428571429,0.9928571428571429,13163.0,13301.0,13163.0,13301.0,0.5,0.9928571428571429,0.9928571428571429,0.5
10,admin,False,False,1.0,2256.0,2248.0,0.9984399375975039,1.0,209.0,848.0,192.0,False,1.0,1146.0,1687.0,848.0,0.5,0.9984399375975039,1.0,1.0,0.9990961132871347,1.0,13126.0,16439.0,14075.0,16439.0,0.5,0.9990961132871347,1.0,0.03976721629485936
11,admin,False,False,1.0,2095.0,2284.0,0.6666666666666666,0.5,252.0,269.0,269.0,False,2.0,987.0,3419.0,252.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.9815157116451017,1.0,13199.0,14241.0,14067.0,13645.0,0.031446540880503145,1.0,0.23950617283950618,0.023076923076923078
12,admin,False,False,1.0,2222.0,1705.0,0.0,0.5,851.0,193.0,193.0,False,5.0,1376.0,6118.0,385.0,0.9285714285714286,0.0,0.9285714285714286,1.0,0.0,0.5,18028.0,15258.0,15258.0,14262.0,0.28699743370402053,0.0,0.28699743370402053,1.0
13,admin,False,False,3.0,3843.0,4015.0,0.0,0.5,872.0,231.0,231.0,False,1.0,874.0,1789.0,231.0,0.5,0.0,0.5,1.0,0.0,0.5,16066.0,13447.0,13447.0,13447.0,0.5,0.0,0.5,1.0
14,admin,False,False,1.0,2191.0,3100.0,0.0,0.5,233.0,192.0,192.0,False,1.0,951.0,2547.0,192.0,0.5,0.0,0.5,1.0,0.0,0.5,13725.0,13569.0,13569.0,13569.0,0.5,0.0,0.5,1.0
15,admin,False,False,3.0,3716.0,4575.0,0.5,0.5,181.0,181.0,181.0,False,3.0,906.0,1022.0,192.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.5,0.5,0.5,12672.0,12672.0,12672.0,12699.0,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.5
16,admin,False,False,1.0,2690.0,2334.0,0.0,0.5,466.0,427.0,427.0,False,1.0,1105.0,1695.0,427.0,0.5,0.0,0.5,1.0,0.0,0.5,20281.0,20102.0,20102.0,20102.0,0.5,0.0,0.5,1.0
17,admin,False,False,1.0,1246.0,1656.0,0.5,0.5,201.0,201.0,201.0,False,1.0,896.0,1158.0,201.0,0.5,0.5,0.5,0.5,0.5,0.5,13307.0,13307.0,13307.0,13307.0,0.5,0.5,0.5,0.5
18,admin,False,False,1.0,1739.0,2838.0,0.0,0.5,240.0,199.0,199.0,False,1.0,994.0,2266.0,199.0,0.5,0.0,0.5,1.0,0.0,0.5,13761.0,13602.0,13602.0,13602.0,0.5,0.0,0.5,1.0
